Provider,product,Price,CPU_RAM_price,Storage_price,licensed_OS_price,internal_egress_price,external_egress_price,internal_egress,external_egress,CPU,RAM,STORAGE,Regional_redundancy,Autoscaling,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Region
Amazon,RH1,2.77895,1.3172,0.0097,0,0.0547945,1.3973,2000,12000,12,48,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,Europe
Amazon,RH2,2.10775,0.646,0.0097,0,0.0547945,1.3973,2000,12000,12,48,300,yes,horizontal,no upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH3,2.06875,0.607,0.0097,0,0.0547945,1.3973,2000,12000,12,48,300,yes,horizontal,partially upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH4,2.97226,0.579,0.0097,0,0.0547945,2.3288,2000,20000,12,48,300,yes,horizontal,All upfront,3 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH5,3.01726,0.624,0.0097,0,0.0547945,2.3288,2000,20000,12,48,300,yes,horizontal,All upfront,3 Year commitment,Dedicated,Standard,Linux,Europe
Amazon,RH6,3.26826,0.875,0.0097,0,0.0547945,2.3288,2000,20000,12,48,300,yes,horizontal,no upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH7,3.23226,0.839,0.0097,0,0.0547945,2.3288,2000,20000,12,48,300,yes,horizontal,partially upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH8,3.21826,0.825,0.0097,0,0.0547945,2.3288,2000,20000,12,48,300,yes,horizontal,All upfront,1 Year commitment,On Demand,Standard,Linux,Europe
Amazon,RH9,3.17245,0.697,0.0097,0,0.1369863,2.3288,5000,20000,12,48,300,yes,horizontal,no upfront,3 Year commitment,Dedicated,Standard,Linux,Europe
Amazon,RH10,3.13045,0.655,0.0097,0,0.1369863,2.3288,5000,20000,12,48,300,yes,horizontal,partially upfront,3 Year commitment,Dedicated,Standard,Linux,Europe
Amazon,RH11,0.28466,0.14,0.01041,0,0.0109589,0.1233,400,1000,2,8,300,yes,horizontal,no upfront,No commitment,On Demand,Standard,Linux,US
