Provider,Price,CPU_RAM_Price,Storage_Price,Cluster_fee,licensed_OS,Hybrid_support,CPU,RAM,STORAGE,Cluster_management_fee,Regional_redundancy,Autoscaling,Vendor_lock-in,Payment_option,Term_Length,Instance_Type,Disk_type,OS,Hybrid_multicloud_support,Pay_per_pod_usage,Region,Built-in_authentication,self-recovery_features,automate_backup_tasks,Versioning&upgrades
Amazon EKS4,0.0647,0.045,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon EKS5,0.0527,0.033,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon EKS6,0.0507,0.031,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon EKS7,0.0487,0.029,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon EKS8,0.07346,0.05376,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,free,no,no,Europe,yes,yes,yes,yes
Amazon EKS9,0.1433,0.1236,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS10,0.10622,0.08652,0.0097,0.01,0,0,2,8,300,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS11,0.12925,0.088,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS12,0.12625,0.085,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS13,0.12525,0.084,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS14,0.11025,0.069,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS15,0.10725,0.066,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS16,0.10525,0.064,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Amazon EKS17,0.17805,0.1368,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS18,0.13701,0.09576,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,No commitment,Spot,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS19,0.14925,0.108,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS20,0.14725,0.106,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS21,0.14625,0.105,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS22,0.13025,0.089,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS23,0.12825,0.087,0.03125,0.01,0,0,2,8,1000,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS24,0.11288,0.089,0.01388,0.01,0,0,2,8,400,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,no,no,Europe,yes,yes,yes,yes
Amazon EKS25,1.51068,1.4868,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS26,1.00888,0.985,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS27,0.73988,0.716,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS28,0.96788,0.944,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS29,0.95188,0.928,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,All upfront,1 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS30,0.69688,0.673,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS31,0.66388,0.64,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,All upfront,3 Year commitment,On Demand,SSD,Linux,no,no,US,yes,yes,yes,yes
Amazon EKS32,3.00888,2.985,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS33,1.90488,1.881,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS34,1.81388,1.79,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS35,1.77888,1.755,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS36,1.31388,1.29,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS37,1.21788,1.194,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS38,1.14588,1.122,0.01388,0.01,0,0,32,64,400,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS39,3.17788,3.154,0.01388,0.01,0,0,8,32,400,yes,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon EKS40,1.44688,1.423,0.01388,0.01,0,0,8,32,400,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
Amazon ECS1,0.89925,0.868,0.03125,0,0,0,8,32,1000,no,yes,both,yes,no upfront,No commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon ECS2,0.69325,0.662,0.03125,0,0,0,8,32,1000,no,yes,both,yes,All upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Amazon ECS3,0.59925,0.568,0.03125,0,0,0,8,32,1000,no,yes,both,yes,partially upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Amazon ECS4,0.37845,0.3472,0.03125,0,0,0,8,32,1000,no,yes,both,yes,no upfront,No commitment,Spot,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon ECS5,0.47625,0.445,0.03125,0,0,0,8,32,1000,no,yes,both,yes,no upfront,1 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon ECS6,0.46125,0.43,0.03125,0,0,0,8,32,1000,no,yes,both,yes,partially upfront,1 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon ECS7,0.34925,0.318,0.03125,0,0,0,8,32,1000,no,yes,both,yes,All upfront,3 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon ECS8,0.37725,0.346,0.03125,0,0,0,8,32,1000,no,yes,both,yes,no upfront,3 Year commitment,On Demand,SSD,Linux,no,no,Europe,yes,yes,yes,yes
Amazon ECS9,0.32525,0.294,0.03125,0,0,0,8,32,1000,no,yes,both,yes,All upfront,1 Year commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon ECS10,0.21925,0.188,0.03125,0,0,0,8,32,1000,no,yes,both,no,partially upfront,3 Year commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Amazon ECS11,0.13987,0.1364,0.00347,0,0,0,2,8,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS12,0.0797,0.0728,0.0069,0,0,0,2,4,200,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS13,0.40841,0.398,0.01041,0,0,0,4,8,300,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS14,0.305,0.2912,0.0138,0,0,0,4,16,400,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS15,1.60866,1.592,0.01666,0,0,0,16,32,500,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS16,1.7999,1.768,0.0319,0,0,0,16,64,1000,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS17,1.83547,1.832,0.00347,0,0,0,16,128,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS18,3.0149,3.008,0.0069,0,0,0,32,64,200,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS19,3.4698,3.456,0.0138,0,0,0,32,128,500,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon ECS20,2.0628,2.0309,0.0319,0,0,0,32,128,1000,no,yes,both,no,no upfront,No commitment,Spot,SSD,Windows,no,no,Asia,yes,yes,yes,yes
Amazon RH1,1.8429,1.3172,0.0097,0.003,0,0.513,12,48,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH2,0.8867,0.646,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH3,0.8477,0.607,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH4,0.8197,0.579,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH5,0.8647,0.624,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH6,1.2297,0.875,0.0097,0.003,0,0.342,12,48,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH7,1.1937,0.839,0.0097,0.003,0,0.342,12,48,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH8,1.1797,0.825,0.0097,0.003,0,0.342,12,48,300,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH9,0.9377,0.697,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH10,0.8957,0.655,0.0097,0.003,0,0.228,12,48,300,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Europe,yes,yes,yes,yes
Amazon RH11,0.32441,0.14,0.01041,0.003,0,0.171,2,8,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon RH12,0.28841,0.161,0.01041,0.003,0,0.114,4,16,300,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon RH13,0.82461,0.4692,0.01041,0.003,0,0.342,8,16,300,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon RH14,0.56341,0.322,0.01041,0.003,0,0.228,8,32,300,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon RH15,1.81886,1.2862,0.01666,0.003,0,0.513,12,48,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,US,yes,yes,yes,yes
Amazon RH16,1.1669,0.806,0.0159,0.003,0,0.342,12,48,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH17,1.8057,1.1028,0.0159,0.003,0,0.684,16,128,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH18,0.8099,0.335,0.0159,0.003,0,0.456,16,32,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH19,2.8865,1.4996,0.0159,0.003,0,1.368,32,64,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH20,1.6629,0.732,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH21,1.8181,1.2862,0.0159,0.003,0,0.513,12,48,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH22,0.4675,0.2776,0.0159,0.003,0,0.171,4,16,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH23,0.2869,0.154,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH24,0.3609,,0.0159,0.003,0,0.342,12,48,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH25,0.3609,,0.0159,0.003,0,0.342,12,48,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH26,1.3465,0.6436,0.0159,0.003,0,0.684,16,32,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH27,0.9289,0.454,0.0159,0.003,0,0.456,16,32,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH28,0.9069,0.432,0.0159,0.003,0,0.456,16,32,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH29,0.7979,0.323,0.0159,0.003,0,0.456,16,32,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH30,0.8269,0.352,0.0159,0.003,0,0.456,16,32,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH31,3.1009,1.714,0.0159,0.003,0,1.368,32,128,500,yes,yes,both,no,no upfront,No commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH32,2.0689,1.138,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH33,2.0209,1.09,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH34,2.0019,1.071,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH35,1.7519,0.821,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH36,1.7009,0.77,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH37,3.1969,1.81,0.0159,0.003,0,1.368,32,128,500,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH38,1.7589,0.828,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH39,1.7969,0.866,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH40,1.8479,0.917,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH41,2.1649,1.234,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH42,2.1169,1.186,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH43,2.0979,1.167,0.0159,0.003,0,0.912,32,128,500,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH44,0.3299,0.197,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH45,0.3239,0.191,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,partially upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH46,0.3209,0.188,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,All upfront,1 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH47,0.2799,0.147,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,partially upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH48,0.2749,0.142,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,All upfront,3 Year commitment,On Demand,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH49,0.3569,0.167,0.0159,0.003,0,0.171,4,16,500,yes,yes,both,no,no upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH50,0.4247,0.2918,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,no upfront,No commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH51,0.3429,0.21,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,no upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH52,0.3369,0.204,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,partially upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH53,0.3339,0.201,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,All upfront,1 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH54,0.2879,0.155,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,All upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Amazon RH55,0.2929,0.16,0.0159,0.003,0,0.114,4,16,500,yes,yes,both,no,partially upfront,3 Year commitment,Dedicated,Standard,Linux,yes,no,Asia,yes,yes,yes,yes
Microsoft AKS1,0.60318,0.595,0.00818,0,0,0,12,48,100,no,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS2,0.65118,0.643,0.00818,0,0,0,12,48,100,no,yes,both,no,no upfront,No commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Microsoft AKS3,0.3613,0.348,0.0133,0,0,0,12,48,100,no,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS4,0.4093,0.396,0.0133,0,0,0,12,48,100,no,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Microsoft AKS5,0.23218,0.224,0.00818,0,0,0,12,48,100,no,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS6,0.28018,0.272,0.00818,0,0,0,12,48,100,no,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Microsoft AKS8,0.8508,0.794,0.0568,0,0,0,16,64,1000,no,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS9,0.5848,0.528,0.0568,0,0,0,16,64,1000,no,yes,both,no,no upfront,1 Year commitment,On Demand,Standard,Windows,no,no,Europe,yes,yes,yes,yes
Microsoft AKS10,0.469,0.363,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Windows,no,no,Europe,yes,yes,yes,yes
Microsoft AKS11,1.531,1.425,0.106,0,0,0,8,64,1000,no,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS12,1.256,1.15,0.106,0,0,0,8,64,1000,no,yes,both,no,no upfront,1 Year commitment,Dedicated,SSD,free,no,no,Europe,yes,yes,yes,yes
Microsoft AKS13,0.966,0.86,0.106,0,0,0,8,64,1000,no,yes,both,no,no upfront,3 Year commitment,Dedicated,SSD,free,no,no,Europe,yes,yes,yes,yes
Microsoft RH1,1.71,1.604,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,yes,no,Europe,yes,yes,yes,yes
Microsoft RH2,1.1762,1.0702,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,yes,no,Europe,yes,yes,yes,yes
Microsoft RH3,0.828,0.722,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Windows,yes,no,Europe,yes,yes,yes,yes
Microsoft RH4,1.846,1.74,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Windows,yes,no,Asia,yes,yes,yes,yes
Microsoft RH5,1.1979,1.0919,0.106,0,0,0,16,64,1000,no,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,yes,no,Asia,yes,yes,yes,yes
Microsoft RH6,0.7323,0.7023,0.03,0,0,0,16,64,500,no,yes,both,no,no upfront,3 Year commitment,On Demand,Standard,Windows,yes,no,Asia,yes,yes,yes,yes
Microsoft RH7,1.582,1.552,0.03,0,0,0,16,64,500,no,yes,both,no,no upfront,No commitment,On Demand,Standard,Windows,yes,no,Asia,yes,yes,yes,yes
Microsoft RH8,1.032,0.979,0.053,0,0,0,16,64,500,no,yes,both,no,no upfront,1 Year commitment,On Demand,SSD,Windows,yes,no,US,yes,yes,yes,yes
Microsoft RH9,0.7011,0.6481,0.053,0,0,0,16,64,500,no,yes,both,no,no upfront,3 Year commitment,On Demand,SSD,Windows,yes,no,US,yes,yes,yes,yes
IBM CKS1,0.37,0.37,0,0,0,0,8,32,100,no,yes,both,no,no upfront,No commitment,On Demand,Standard,free,no,no,US,yes,yes,yes,yes
IBM CKS2,0.38,0.38,0,0,0,0,8,32,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,US,yes,yes,yes,yes
IBM CKS3,0.54,0.54,0,0,0,0,8,32,100,no,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
IBM CKS4,0.11,0.11,0,0,0,0,2,4,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,US,yes,yes,yes,yes
IBM CKS5,0.34,0.34,0,0,0,0,2,4,100,no,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,US,yes,yes,yes,yes
IBM CKS6,1.46,1.46,0,0,0,0,16,128,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
IBM CKS7,1.35,1.35,0,0,0,0,16,128,100,no,yes,both,no,no upfront,No commitment,Dedicated,SSD,free,no,no,Asia,yes,yes,yes,yes
IBM CKS8,0.33,0.33,0,0,0,0,8,16,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
IBM CKS9,0.38,0.38,0,0,0,0,8,32,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
IBM CKS10,0.46,0.46,0,0,0,0,8,34,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,free,no,no,Asia,yes,yes,yes,yes
IBM RH1,2.6,2.6,0,0,0,0,32,32,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH2,2.9,2.9,0,0,0,0,32,32,100,no,no,both,no,no upfront,No commitment,Dedicated,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH3,2.87,2.87,0,0,0,0,32,64,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH4,3.12,3.12,0,0,0,0,32,64,100,no,no,both,no,no upfront,No commitment,Dedicated,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH5,3.24,3.24,0,0,0,0,32,128,100,no,no,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH6,3.47,3.47,0,0,0,0,32,128,100,no,no,both,no,no upfront,No commitment,Dedicated,SSD,Linux,yes,no,Europe,yes,yes,yes,yes
IBM RH7,3.26,3.24,0,0.02,0,0,32,128,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,US,yes,yes,yes,yes
IBM RH8,3.49,3.47,0,0.02,0,0,32,128,100,no,yes,both,no,no upfront,No commitment,Dedicated,SSD,Linux,yes,no,US,yes,yes,yes,yes
IBM RH9,0.9,0.88,0,0.02,0,0,8,64,100,no,yes,both,no,no upfront,No commitment,On Demand,SSD,Linux,yes,no,US,yes,yes,yes,yes
