Provider,Price,Deployment Type,CPU,RAM,STORAGE,external_egress,internal_egress,Autoscaling,Term_Length,Instance_Type,OS,Region,Scaling_to_zero,AppService_Domain,Certificates,Regional_Redudancy,Container_support
Google,0.461260274,WebApp,4,7,10,400,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.3394246575,WebApp,1,0.5,10,1000,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.4154246575,WebApp,2,1,10,1000,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.4380273973,WebApp,2,2,50,1000,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.4880273973,WebApp,2,7,50,1000,100,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.7000273973,WebApp,4,14,50,1000,400,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.4980273973,WebApp,2,8,50,1000,400,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.7200273973,WebApp,4,16,50,1000,400,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,1.42430137,WebApp,8,32,50,2000,400,yes,0,A_Shared,Windows,Australia,no,no,A_no,no,yes
Google,0.7638356164,WebApp,1,0.5,10,4000,400,no,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.8638356164,WebApp,2,1,10,4000,400,no,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.9665753425,WebApp,2,2,10,4000,600,no,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,1.066575342,WebApp,4,2,10,4000,600,no,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.7665753425,WebApp,1,0.5,10,4000,600,yes,0,A_Shared,Windows,US,yes,no,A_no,yes,no
Google,0.8578082192,WebApp,2,1,10,4000,600,yes,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.9578082192,WebApp,2,2,10,4000,600,yes,0,A_Shared,Windows,US,yes,no,A_no,no,no
Google,0.8472167808,WebApp,1,1.75,250,4000,600,yes,0,A_Shared,Windows,US,yes,no,A_no,yes,yes
Google,0.9122417808,WebApp,2,3.5,250,4000,600,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,1.042291781,WebApp,4,7,250,4000,600,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.8438212329,WebApp,1,0.5,250,4000,1000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,1.249286301,WebApp,2,1,1000,4000,1000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.9276191781,WebApp,2,2,1000,2000,1000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.9631191781,WebApp,2,7,1000,2000,1000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,1.131717808,WebApp,4,14,1000,2000,2000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.9839178082,WebApp,2,8,1000,2000,2000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,1.145917808,WebApp,4,16,1000,2000,2000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,1.469917808,WebApp,8,32,1000,2000,2000,yes,0,A_Shared,Windows,US,no,no,A_no,yes,yes
Google,0.4930136986,WebApp,1,0.5,1000,2000,2000,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.6230136986,WebApp,2,1,1000,2000,2000,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.7530136986,WebApp,2,2,1000,2000,2000,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.8830136986,WebApp,4,2,1000,2000,100,no,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.4930136986,WebApp,1,0.5,1000,2000,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.6230136986,WebApp,2,1,1000,2000,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.7530136986,WebApp,2,2,1000,2000,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,no,no
Google,0.7166267123,WebApp,1,1.75,500,2000,100,yes,0,A_Shared,Windows,A_Europe,yes,no,A_no,yes,yes
Google,1.129143836,WebApp,2,3.5,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.296643836,WebApp,4,7,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.034143836,WebApp,1,0.5,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.106643836,WebApp,2,1,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.115643836,WebApp,2,2,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.160643836,WebApp,2,7,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,yes,yes
Google,1.20690411,WebApp,4,14,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,1.01690411,WebApp,2,8,500,4000,100,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,1.22490411,WebApp,4,16,500,4000,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,1.64090411,WebApp,8,32,500,4000,400,yes,0,A_Shared,Windows,A_Europe,no,no,A_no,no,yes
Google,0.677739726,WebApp,1,0.5,50,1000,600,no,0,A_Shared,Windows,South America,yes,no,A_no,yes,no
Google,0.6811643836,WebApp,2,1,50,1000,600,no,0,A_Shared,Windows,South America,yes,yes,A_no,yes,no
Google,0.6297945205,WebApp,2,2,250,1000,600,no,0,A_Shared,Windows,South America,yes,yes,A_no,no,no
Google,0.7797945205,WebApp,4,2,250,1000,600,no,0,A_Shared,Windows,South America,yes,yes,A_no,no,no
Google,0.3297945205,WebApp,1,0.5,250,1000,2000,yes,0,A_Shared,Windows,South America,yes,yes,A_no,no,no
Google,0.6441780822,WebApp,2,1,250,2000,2000,yes,0,A_Shared,Windows,South America,yes,yes,A_no,no,no
Google,0.7941780822,WebApp,2,2,250,2000,2000,yes,0,A_Shared,Windows,South America,yes,yes,A_no,no,no
Google,0.77325,WebApp,1,1.75,50,4000,400,yes,0,A_Shared,Windows,South America,yes,no,A_no,no,yes
Google,0.8715,WebApp,2,3.5,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,1.068,WebApp,4,7,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.7595,WebApp,1,0.5,50,4000,400,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.5152328767,WebApp,2,1,50,2000,600,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.5262328767,WebApp,2,2,50,2000,600,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.5812328767,WebApp,2,7,50,2000,600,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
Google,0.8860958904,WebApp,4,14,250,2000,600,yes,0,A_Shared,Windows,South America,no,no,A_no,no,yes
